TITLE,AUTHOR,TRANSLATOR,PUBLICATION,CATEGORY,IMAGE,URL
"Illyrine, ou l'écueil de l'Inexpérience",madame de Morency,,1800,,,
"Imanowa, ou la fille de Dloskou",anonyme,E. Saint-Aulaire,1818,,,
"Imirce, ou la fille de la nature; suivi de l'histoire de Babet",abbé Dulaurens,,1776,,,
Incas (les) ou la destruction de l'empire du Pérou,Marmontel,,,3,,
"Incendie (l') du monastère, ou le persécuteur inconnu",mademoiselle Castellarat,,,,,
Inconnu (l') ou la galerie mystérieuse ,Sophie Francès,madame de Viterne,,,,
Indiscret (l') conteur des aventures de la garde nationale de Paris,chevalier L***,,1816,4,,
"Indien (l') en Europe, ou l'enthousiasme de la patrie ",madame la comtesse d'Ouglou,,1821,,,
Indoux (l') ou la fille aux deux pères,J. P. Bress,,1809,,,
Inès de Léon,,,,,,
Infidèle (l') par circonstances,M. Legay,,1803,1,,
Influence (De l') du climat sur l'homme,madame de Renneville,,1809,3,,
"Infortuné (l') Napolitain, ou les aventures du seigneur Roselly",anonyme,,1765,,,
"Infortunes (les) de la Galetierre, pendant le régime décemviral",Joseph Rosny,,1799,2,,
"Intendant (l') et son seigneur, ou les dangers des mariages clandestins",madame de Rome,,1815,,,
Invalide (l'); son histoire écrite par lui-même,,,,,,
Invisibles (les) ou les mines du château des bois ,Auguste Lafontaine,Léon A.,1820,,,
"Iolanda Fitz-Alton, ou les malheurs d'une jeune Irlandaise",anonyme,,1810,,,
"Irma, ou les malheurs d'une jeune orpheline",madame Guénard,,1816,1; 2,,
Irner,Lord Byron,anonyme,1821,1,,
Isabella et Henri ,anonyme,Cantwel,1795,,,
"Isabelle de Pologne, ou la famille fugitive ",madame Barthelemy Hadot ,,1817,1; 3,,
Isabelle et Théodore,Horace Walpole,,1797,,,
Isaure d'Aubignie ,Pigault-Montbaillarcq ,,1812,,,
Isaure et Montigny,madame de Tercy,,1818,,,
"Isore, ou le tombeau de Delphine",anonyme,,1809,,,
"Israëlites (les) modernes, on les aventures des deux frères Daroca",M. Rivoire,,1812,,,
"Italienne (l'), ou amour et persévérance",Dognon,,1803,,,
"Italien (l'), ou le confessionnal des pénitents noirs",Anne Radcliffe,André Morellet,1819,1,,
"Ivanhoé, ou le retour du Croisé",Walter Scott,,1821,1,,
"Jacques Manners, le petit Jean et leur chien Blouff",mistriss Helme,anonyme,1801,1,,
"Jacques Ier,  roi d'Ecosse, ou les prisonniers de la tour de Londres",madame Barthelemy Hadot ,,1819,1; 3,,
Jardinière (la) de Vincennes,madame de Villeneuve,,1811,2,,
"Jean de Procida, ou les vêpres siciliennes",baron Léon Lamothe-Houdancourt,,1821,,,
"Jean et Jeannette, ou les petits aventuriers parisiens",Ducray-Duminil,,1816,1; 3,,
J.-J. Rousseau peint par lui-même,M. le comte d'Escherny,,1819,,,
Jeanne de France,madame de Genlis,,1816,1; 3,,
"Jeannette et Guillaume, ou l'amour éprouvé",Kotzebüe,,,,,
Jean Sbogar,Charles Nodier,,1820,2,,
"Jemmy et Sophie, ou les méprises de l'amour",anonyme,L. M.,1798,,,
"Jéniska, ou l'orpheline russe",madame M. ,,1815,,,
"Jenny, ou la victime des apparences",anonyme,J. B. J. Breton,1809,,,
Jérôme,Pigault-Lebrun,,1818,1,,
Jérusalem délivrée,le Tasse,Mirabeau,1784,3,,
"Jeune (la) Américaine, ou voyages et aventures du Comte d'Albon ",Sarrazin,,1820,,,
Jeune (la) aveugle,madame de Montolieu,,1819,1; 3,,
Jeune (la) Bostonienne; suivi d'Anica,madame Armande Roland,,1820,1,,
"Jeune (le) Cléveland, ou traits de nature",miss Burney,anonyme,1815,1,,
"Jeune (la) Fille, ou malheur et vertu",madame Augustine Gottis,,1818,,,
"Jeune (le) Loys, prince des Francs, ou malheurs d'une famille auguste",madame Augustine Gottis,,1817,,,
"Jeune (le) peintre, ou mon histoire",M. Legay,,1821,1,,
Jeune (le) philosophe,Charlotte Smith,,1819,,,
Jeunesse (la) de Figaro,Regnault-Warin,,,,,
"Jeune (le) de Sainte-Madeleine, ou les illustres proscrits ",miss Anna Maria Porter,,1819,1,,
"Jeux (les), Caprices et Bizarreries de la nature",Dorvigny,,,,,
"John Bull, ou voyage à l'ile des Chimères",F. P. A. Léger,,1818,,,
John Moore,C. Dubouchet,,1821,,,
Joseph Andrews,,,,,,
"Jour (le) des noces, ou les effets de la jalousie ",Elisabeth-Isabella Spence,madame P. ,1803,,,
"Journal de ce qui s'est passé à la tour du Temple, pendant la captivité de Louis XVI",Cléry,,1819,3,,
"Juanna et Tyranna, ou laquelle est ma femme?",anonyme,,1816,,,
"Jules et Améline, ou l'orphelin de Venise",Ponet,,1805,,,
"Jules, ou le frère généreux",A. N. Dampmartin,,1821,,,
"Julia, ou les souterrains du château de Mazzini",Anne Radcliffe,,1820,1,,
"Julie de Merival, ou les souterrains du Schmidt-berg",G. D.,,1811,,,
"Julie de Saint-Olmont, ou les premières illusions de l'amour",Gaillard,,1805,,,
"Julie, ou j'ai sauvé ma rose",madame de Choiseul-Meuse,,1821,4,,
"Julie, ou la Nouvelle Héloïse",,,,4,,
"Julie, ou la soeur ingrate",anonyme,,1801,,,
"Juliéry, ou le triomphe de la vérité sur l'erreur ",anonyme,,1799,,,
"Juliette Grenwil, ou l'histoire du coeur humain ",,,1801,,,
"Juliette, ou les 'malheurs d'une vie coupable",Nougaret,,1821,3,,
Kenilworth,Walter Scott,anonyme,1821,1,,
"Ladislas, ou suite d'Eugénie et Mathilde",madame de Blesenski,,1811,,,
"Ladouski et Floriska, ou les mines de Cracovie",M. L.,,1801,2,,
Lai (le) (ou chant) du dernier ménestrel,Walter Scott,anonyme,1811,1,,
Laitière (la) de Bercy; anecdote historique du siècle de Louis XIV,madame Guénard,,1817,1; 2,,
"Lalla Roukh, ou la princesse mogole; histoire orientale",Thomas Moore,anonyme,1820,,,
"Lancelot Montagu, ou le résultat des bonnes fortunes",madame Bournon Malarme,,1816,,,
"Lanski, ou une victime des troubles d'Avignon en 1815",madame Varrot,,1820,,,
"Latimor, ou le plus infortuné des hommes an sein de l'opulence et des grandeurs ",T. S. Surr,J. Martin,1807,,,
"Laure et Rosé, ou la destinée",anonyme,,1820,,,
"Laurence de Sully, ou l'ermitage en Suisse",madame Barthelemy Hadot ,,1820,1; 3,,
"Laure, ou la grotte du père Philippe",miss Burton,Cantwel,1799,,,
"Laure, ou l'amour et les systèmes",anonyme,,1802,,,
Léodgard de Walheim à la cour de Frédéric II,madame Sartory de Wimpffen,,1809,,,
Léonie de Montbreuse,madame S** Gay,,1813,1,,
Léonora,miss Edgeworth,G. ,1807,1; 3,,
Léonore de Grailly et Gaston de Foix,M. Wllymor,,1797,,,
Léontine de Blondheim,Kotzebüe,,1808,,,
Léontine de Werteling,madame Adèle Daminois,,1819,,,
"Léontine, ou le départ et le retour",J. O.,,1820,,,
"Léopold de Circé, ou les effets de l'athéisme",madame de Saint-Venant,,1803,,,
"Léopoldine, ou les enfants perdus et retrouvés",Schultz,,1796,,,
"Léopold, ou le pavillon mystérieux",M. A. L. J. Gerdret,,1818,,,
"Lettre (la) brûlée, ou le château de Melworth",mademoiselle M. de M. ,,1818,,,
Lettres à Emilie sur la Mythologie,Dumoustier,,1819,3,,
"Lettres à Jenny sur Montmorency, l'Ermitage, Andilly, Saint-Leu, Chantilly, Ermenonville, et les environs",M. F. L.,,1818,,,
Lettres à Junie,Dauphin,,1811,,,
"Lettres à Milady, et autres oeuvres mêlées",de la Place,,1773,1,,
"Lettres à Sophie sur la physique, la chimie et l'histoire naturelle",Aimé Martin,,1820,3,,
Lettres de Madame de Staal ( Mademoiselle Delaunay ) ,d'Héricourt,,1821,,,
Lettres de Madame la marquise de Pompadour,anonyme,,1811,,,
Lettres de milord Walton à sir Hugues Battle,madame Bournon Malarme,,1789,,,
Lettres de Nanine à Simphal,madame de Staël-Holstein,,1818,1,,
"Lettres de Stéphanie, roman historique",madame la comtesse de Beauharnais,,1795,,,
Lettres écrites d'Evian en Chablais,,,,,,
Lettres du colonel Talbert,M.***,,1767,,,
Lettres du comte de Chesterfield à son fils Philippe Stanhope,anonyme,,1812,3,,
Lettres du marquis de Roselle,madame Elise de Beaumont,,1776,,,
"Lettres d'une péruvienne, suivies des Lettres d'Aza",madame de Graffigny,,1790,,,
Lettres historiques et galantes de madame Dunoyer,anonyme,,,,,
Lettres sur les ouvrages et le caractère de J.-J. Rousseau ,madame de Staël-Holstein,,1798,1,,
Liaisons (les) dangereuses,Choderlos de Laclos,,1820,,,
Libertin (le) de bonne compagnie,anonyme,,1802,,,
"Lina, ou les enfans du ministre Albert",Joseph Dros,,1805,,,
"Lioncel, ou l'émigré",Louis de Bruno,,1803,,,
Lionel,,,1819,,,
Lindsay de Rainville,madame de Valory,,,,,
"Lismor, ou le château de Clostern ",Sheridan,anonyme,1800,,,
Liswart de Grèce; roman de chevalerie,M. de Mayer,,1788,,,
"Livre (le) des singularités, ou les moments bien employés",anonyme,,1805,,,
Lolotte et Fanfan ou histoire de deux enfans abandonnés dans un désert,Ducray-Duminil,,,1; 3,,
Lord Byron,,,,,,
Lord (le) des îles,,,,,,
Lord Ruthwen ou les vampires,Charles Nodier,,1820,,,
"Lord Wisby, ou le célibataire",anonyme,,1808,,,
Lorerizo de Valvellias ,M. Fescourt,,1813,,,
"Louisa et Maria, ou les illusions de la jeunesse",mistriss Brooke,,1819,,,
"Louisa, ou la chaumière dans les marais",mistriss Helme,anonyme,1787,1,,
Louise de Sénancourt,madame de Tercy,,1817,,,
"Lucas et Claudine, ou le bienfait et la reconnaissance",madame Malles,,1816,,,
"Lucien de Murcy, ou le jeune homme d'aujourd'hui",P. L. B.,,1816,,,
"Lucile, ou la bonne fille",madame de Renneville,,1808,3,,
"Lucinde, ou la vallée de Vie**",madame D.* de V*,,1810,,,
"Ludovico, ou le fils d'un homme de génie",anonyme,,,,,
"Ludwig d'Eisaeh, ou les trois éducations",Auguste Lafontaine,madame Elise Voïard,1818,1,,
"Lutin (le) couleur de feu, ou mes tablettes d'une année",M.***,,1820,,,
"Lutins (les) du château de Kernosy, nouvelle historique",madame la comtesse de Murat,,1793,,,
"Lydia Stevill, ou le prisonnier français",madame Armande Roland,,1817,1,,
"Lydie, ou les mariages manqués",madame Simons Candeille,,1809,,,
"Madame Bloc, ou l'intrigante",madame Guénard,,1817,1,,
"Madame de Lignole, ou la fin des aventures de Faublas",madame Guénard,,1815,1,,
Madame de Maintenon ,Regnautt-Warin ,,1805,,,
Madame de Maintenon pour faire suite à l'Histoire de madame la duchesse de La Vallière,madame de Genlis,,1806,1; 3,,
Madame de ou la rentière,madame de Colleville,,1803,,,
Madame de Sedan ou l'intérieur de la cour de François Ier,madame Guénard,,1821,1,,
"Madame de Valnoir, ou l'école des familles ",Ducray-Duminil,,1813,1; 3,,
"Mademoiselle de Chatellerault, échappée aux massacres de France en 1789",Lister,anonyme,1814,1,,
"Mademoiselle de Clermont, nouvelle historique",madame de Genlis,,1811,1; 3,,
Mademoiselle de la Fayette ou le siècle de Louis XIII,madame de Genlis,,1815,3,,
"Mademoiselle de Luynes, Nouvelle historique du siècle de Louis XIV",madame Sartory de Wimpffen,,1817,,,
"Mademoiselle de Montdidier, ou la cour de Louis XI",madame Barthelemy Hadot ,,1821,1; 3,,
"Mademoiselle de Salences, ou les épreuves d'Elmire ",madame ***,,1814,,,
Mademoiselle de Tournon,madame de Flahaut,,1820,1,,
"Magasin (le) des enfants, ou Dialogues d'une sage gouvernante avec ses élèves",madame Leprince de Beaumont,,,3,,
"Main (la) mystérieuse, ou les horreurs souterraines ",A. J. Grandolphe,R. J. Durdent,1819,,,
"Maison (la) des Bois, ou le remords et la vertu",madame A. P.,,1821,,,
"Maison (la) isolée, ou les doubles clefs",M. Lesuire,,1808,,,
Maître Corbin,,,,,,
"Maître Etienne, ou les  fermiers et les châtelains",M. le baron Léon de Lamothe Houdancourt,,1819,,,
"Maître Pierre, ou jeunesse et folie, histoire plus que véritable ",anonyme,,1803,,,
"Major (le) autrichien, ou une année militaire ",anonyme,,1819,,,
Malédiction (la) ou l'ombre de mon père ,mistriss Benett,madame P. ,1809,1,,
Malheurs  (les) de la famille de Beauvalier,,,,,,
Malheurs (les) de la jalousie,madame Menard,,1796,,,
"Malheurs (les) de l'inconstance, ou lettres de la marquise de Syrcé et du comte de Mirbel ",Dorat,,1772,,,
"Malheurs (les) de l'infidélité conjugale, ou lettres publiées pour l'instruction des époux ",anonyme,,1802,,,
Malheurs (les) d'Elisabeth ou les victimes de la perfidie,madame Moylin Fleury,,1799,,,
Malvina,madame Cottin,,1821,1,,
Mandeville; histoire anglaise du XVIIe siècle,William Godwin,Jean Cohen,1819,,,
Manon Lescaut,,,,,,
Manuscrit (le) trouvé au Mont-Pausilippe,Montjoie,,1805,1,,
"Marcellin, ou bon coeur et mauvaise tête",Quesné,,1815,,,
Marchand (le) forain et ses fils,M. Legay,,1819,1; 2,,
"Marguerite de Rodolphe, ou l'orpheline du prieuré",Plancher Valcourt,,1815,,,
Maria ,madame Daminois,,1819,,,
Maria de Marlinge,Nicod,anonyme,1798,,,
"Maria d'Oriville, ou le séducteur vertueux",Holford,madame de Rome,1813,,,
"Mariage (le) malheureux, ou Mathurin et Madeleine histoire véritable",V. R. Barbet,,1815,,,
"Mariages (les) nocturnes, ou Octave et la famille Browning ",mistriss Méeke,,1820,,,
"Marianne, ou la fermière de qualité",madame de Choiseul-Meuse,,1821,3,,
"Maria, ou le malheur d'être femme",Mary Wollstonecraff Godwin,B. Ducos,1798,,,
"Maria, ou l'enfant de l'infortune, fille naturelle de la comtesse D* ",Willemain d'Abancourt,,,,,
"Marie de Bourgogne, roman historique du XVe siècle",madame de Saint-Venant,,1808,,,
Marie de Clèves princesse de Condé ,madame A. Gottis,,1821,,,
"Marie Menzikoff, ou la fiancée de Pierre II, empereur de Russie",Auguste Lafontaine,,1817,,,
Marie Muller,anonyme,madame Adeline de Colbert,1802,,,
Marie Névill,madame de Marèse,,1815,2,,
"Marie, ou les Hollandaises",Louis Bonaparte,,,,,
Marie Stuart,M.***,,1804,,,
Mari (le) mystérieux ,,,,,,
"Marmion, ou la bataille de Flodden-Field, roman poétique ",Walter Scott,anonyme,1820,1,,
"Marmotte (la) philosophe, ou la philosophie en domino",madame la comtesse de Beauharnais,,1811,,,
Marquis (le) de la Rapière,Raban,,1820,,,
"Marquise (la) de Valcour, ou lé triomphe de l'amour maternel ",M.***,,1816,,,
"Martha, ou les dangers d'un mariage précipité",mistriss Robinson,,1801,,,
"Martyr (le) de la liberté; lettres originales de l'infortuné Patkul, ambassadeur et général de Pierre-le-Grand empereur de Russie",anonyme,,1790,,,
"Masque (le) de fer, ou les aventures du père et du fils",madame de Flamanville,,,,,
"Mathilde, ou mémoires tirés des Croisades",Michaud,,1820,,,
Matinées (les) du Sultan; contes arabes ,Fullerton Weston,,1821,,,
"Matinées (les), nouvelles anecdotes",d'Arnaud,,1799,,,
Ma Toilette; manuscrit dérobé à une vieille femme ,anonyme,,1819,,,
"Maurice, et les Enfants de Maurice ",mademoiselle P..val,,1821,,,
"Maurice, ou la maison de Nantes",J*** D***,,1805,,,
Ma vie de garçon ou aventures galantes d'un officier de dragons ,anonyme,,1818,,,
Méchante (la) Femme et le Bon Jeune homme,anonyme,J. F. André,1807,,,
"Médicis (les), ou la renaissance des sciences, des lettres et des arts en Italie, en France etc.",Paccard,,1812,,,
Mélanie de Rostange,madame Armande Roland,,1806,1,,
"Mélanie et Félicité, ou la différence des caractères ",H. Lemaire,,1798,,,
"Mélanie, ou le double hymen",mademoiselle J. B***,,1810,,,
"Mélina de Cressanges, ou les souterrains du château d'Orfeuil ",M. Hyppolite,,1820,,,
"Mélina, ou la femme sacrifiée",madame la baronne de Cuzey,,1820,,,
"Mélina Walpole, ou lettres dans les moeurs anglaises",madame G***,,1812,,,
"Melmoth, ou l'homme errant",Mathurin,Jean Cohen,1821,2,,
"Melusine, ou le tombeau des Lusignan ",Paccard,,1816,,,
"Melval et Adèle, ou la destinée; histoire véritable pour les uns, roman pour les autres",H. Duval,,1819,,,
Mémoires d'Athanaïs ,madame Guénard,,1807,1,,
"Mémoires de Cécile, écrits par elle-même",madame Guichard,,1777,,,
Mémoires de Fanny Spingler,madame Beccary,anonyme,1781,,,
"Mémoires de Gaudence de Lucques, prisonnier de l'inquisition ",anonyme,,1797,,,
Mémoires de madame la duchesse de Mazarin,,,,,,
"Mémoires de madame la marquise de Pompadour, écrits par elle-même",R. P. ,,1808,,,
Mémoires de miss Georges Anne Bellamy actrice du théâtre de Covent-Garden,anonyme,A. V. Benoist,1799,,,
Mémoires de miss Sidney Bidulphe,anonyme,,1768,,,
Mémoires de Saint -Félix ou aventures d'un jeune homme pendant la révolution ,R. J. Durdent,,1818,3,,
Mémoires de sir Georges Wollap,M. L. C. D.,,1788,,,
Mémoires d'Olivier Cromwel et de ses enfans,anonyme,C. M.,1816,,,
Mémoires du chevalier de Ravannes,anonyme,,1782,,,
Mémoires du comte de Grammont,Antoine Hamilton,,1820,2,,
Mémoires du marquis de Solanges ,anonyme,,1767,2,,
Mémoires d'une chanoinesse ,A. de St.-Foix,,1804,,,
"Mémoires d'un Espagnol, ou histoire de don Alphonse de Peraldo",M.***,,1818,2,,
"Mémoires d'un fou, ou les soixante chapitres ",anonyme,,1802,,,
Mémoires d'un vieillard de vingt-cinq ans,Rochemond,,1809,,,
Mémoires d'un Vilain du XIVe siècle,J. A. S. Collin de Plancy,,1820,,,
Mémoires et aventures d'un homme de qualité qui s'est retiré du monde,abbé Prévost,,1756,1,,
Mémoires historiques critiques et anecdotiques des reines et régentes de France ,Dreux Duradier,,1808,,,
"Mémoires historiques de madame la comtesse Dubarry, dernière maîtresse de Louis XV ",madame Guénard,,1803,1,,
"Mémoires historiques de Marie-Thérèse-Louise de Carignan, princesse de Lamballe",madame Guénard,,1815,1,,
"Mémoires historiques, et anecdotes de la cour de France pendant la faveur de la marquise de Pompadour",anonyme,,1802,,,
"Mémoires Turcs, ou histoire galante de deux Turcs avec celle de leur séjour en France ",anonyme,,1775,,,
"Mendiant (le) boiteux ou les aventures d'Ambroise Gwinett, balayeur du pavé de Sprin-Garden",anonyme,,1778,,,
"Méprise (la) du cocher, ou à quelque chose malheur est bon",madame de Lagrave,,1806,,,
Mère (la)  intrigante,miss Edgeworth ,anonyme,1812,1; 3,,
"Mère (la) mariée par ses enfants, roman historique ",anonyme,,1802,,,
"Mères (les) dévouées, ou histoire de deux familles",M. Legay ,,1814,1,,
"Mères (les) rivales, ou la calomnie",madame de Genlis,,1819,1; 3,,
Mes Contes et ceux de ma gouvernante,Marc-Luc-Roch-Policarpe,,1820,,,
"Mes écarts, ou le fou qui vend de la sagesse",Coffin Rosny,,1807,,,
"Mes Souvenirs sur Napoléon, sa famille et sa cour",madame veuve du général Durand,,1819,2,,
Mille (les) et une Faveurs; contes de cour tirés de l'ancien gaulois,chevalier de Mouhy,,1783,,,
"Mille (les) et une Folies, contes français",Nougaret,,,3,,
"Mille (les) et une Nuits, contes arabes",Antoine Galland,,1819,2; 3,,
"Mille (les) et un jours, Contes persans",M. Petits-de-la-Croix,,1766,,,
"Mille (les) et un Souvenirs, ou les veillées conjugales",Desforges,,1799,2,,
"Mines (les) de Mazara, ou les trois soeurs",madame Barthelemy Hadot,,1820,1; 3,,
Ministre (le) de Wakefield ,Goldsmith,,1821,2,,
"Minuit, ou les aventures de Paul de Mirebon",anonyme,,1799,,,
"Misères (les) de la vie humaine, ou les gémissemens et les soupirs exhalés au milieu des fêtes",James Beresford,T. P. Bertin,1817,,,
"Missionnaire (le), histoire indienne",lady Morgan,anonyme,1817,,,
"Missionnaires (les), ou la famille Duplessis",Rougemont,,1820,,,
"Miss Lovely de Macclesfield, ou le domino noir",madame de Renneville,,1817,3,,
Modèle (le) des femmes,miss Edgeworth,anonyme,1813,1; 3,,
"Moderne (le) Robinson, ou naufrages et aventures du comte de …",anonyme,,1801,,,
"Moeurs (les) du jour, ou histoire de sir William Harrington ",Samuel Richardson,,1785,1; 3,,
"Moine (le) et le philosophe, ou la croisade et le bon vieux temps",Ricard Saint-Hilaire,,1820,,,
Moine (le) ,Lewis,anonyme,,2,,
"Monastère (le) de Saint-Columba, ou le chevalier aux armes rouges",anonyme,C.  ,1819,2,,
Monastère (le),Walter Scott,anonyme,1820,1,,
"Monbars l'exterminateur, ou le dernier chef des Flibustiers ",J.-B. Picquenard,,1809,2,,
"Monde (le) et la Retraite, ou correspondance de deux jeunes amies",M. A. D.,,1817,,,
Mon habit mordoré,M. Kératry,,,,,
"Mon Histoire, on l'homme aux trois noms",M. le général baron d'Utruy,,1814,,,
"Mon Oncle le Crédule, ou recueil des prédictions les plus remarquables qui ont paru dans le monde",Déodat de Boispréaux,,1820,,,
"Mon oncle Rigobert, ou l'homme résolu ",M. de Montivilliers,,1809,4,,
Mon oncle Thomas,Pigault-Lebrun,,1819,1,,
Monsieur Botte,Pigault-Lebrun,,1818,1,,
"Monsieur Corbin, ou l'intendant maire de village",Raban,,1821,,,
Monsieur de Roberville ,Pigault-Lebrun,,1818,1,,
"Monsieur Gélin, ou les effets de l'envie et de la médisance ",M. Legay,,1810,1,,
"Monsieur Ménard, ou l'homme comme il y en a peu",madame de Lagrave,,1802,,,
Montalbert et Rosalie,Charlotte Smith,,1800,,,
"Mont (le) Cantal, ou les malheurs de la famille Beauvallier ",madame L. B. D. ,,1820,,,
"Montluc, ou le tombeau mystérieux",M. Brès,,1818,,,
"Morale (la) en action, ou élite de faits mémorables et d'anecdotes instructives, propres à faire aimer la sagesse",Berenger,,,3,,
"Mort (la) d'Azaël, et le Rapt de Dina",P. D. Dugat,,1799,3,,
Morts (les) vivants,,,,,,
"Mousquetaire (le) enlevé, ou la conjuration des dames",major sir Charles Wilson,,1820,4,,
"Mystères (les) de Hongrie, roman historique ",Edward Moore,madame la comtesse de L***,1817,,,
"Mystères (les) de la Forêt, ou quel est le meurtrier?",anonyme,anonyme,1819,,,
"Mystères (les) de la tour Saint-Jean, ou les chevaliers du Temple ",Lewis,baron de Lamothe-Houdancourt,1819,2,,
Mystères (les) d'Udolphe,Anne Radcliffe,madame V. de C.,1819,1,,
Nanine de Manchester,madame Flore-Lefevre-Marchand,,1802,,,
"Narcisse, ou le château d'Arabit",mademoiselle Désirée Castellerat,,1804,2,,
"Narrations d'Omaï, insulaire de la mer du sud, ami et compagnon de voyage du capitaine Cook",anonyme,,1790,,,
"Natalie de Bellozane, ou le testament",madame ***,,1802,,,
Natalie et Zulmé ou les caractères opposés ,M* L*,,1812,,,
"Nature (la) et les sociétés, ou Arianne et Gualther",Joseph Lavallée,,1815,,,
Nature (la) outragée dans les écarts de l'imagination ou nouveau traité d'Onanisme,Bl. C. R.,,1813,4,,
"Naufrage (le), ou les deux Richard",madame Bournon Malarme,,1812,,,
Naufrage (le),miss Burney,anonyme,1812,1,,
"Nécromancien (le), ou le prince à Venise",Schiller,madame de Montolieu,1811,,,
Nègre (le) comme il y a peu de blancs,Joseph Lavallée,,1789,1,,
"Nelson, ou l'avare puni",madame Wasse (Cornélie Wouters),,1789,,,
"Noeuds (les) enchantés, ou la bizarrerie des destinées ",madame la comtesse de Beauharnais,,1789,,,
"Nolbertine, ou les suites du pèlerinage",madame de Saint-Venant,,1716,,,
Nous le sommes tous,Pigault-Lebrun,,,1,,
Nouveau (le) Diable boiteux,P. Chaussard,,1803,,,
Nouveaux (les) Contes moraux,Marmontel,,1801,,,
"Nouveaux Contes moraux, et Nouvelles historiques",madame de Genlis,,1818,1; 3,,
Nouveaux Contes moraux ,miss Opie,M. Aubert de Vitry,1818,3,,
Nouveaux (les) Contes moraux,Auguste Lafontaine,M. de Propiac,1802,3,,
"Nouveaux (les) Tableaux de famille, ou la vie d'un pauvre ministre de village",Auguste Lafontaine,anonyme,,,,
"Nouvelle (la) Arcadie, ou l'intérieur de deux familles",Auguste Lafontaine,anonyme,1809,,,
"Nouvelle (la) Astrée, ou les aventures romantiques du temps passé",Fr. Ph. Masson,,1805,,,
"Nouvelle (la) Emma, ou les caractères anglais du siècle",Jane Austen,anonyme,1816,,,
"Nouvelle (la) Héloïse, ou lettres de deux amants habitans d'une petite ville au pied des Alpes",J.-J. Rousseau,,1808,2; 4,,
"Nouvelle (la) Paysanne parvenue, ou histoire de Jeannette seconde",M. G. de la Bataille,,1759,,,
Roland l'Amoureux,"Mathéo Maria Boiardo, comte di Scandiano",M. Lesage,1776,,,
Nouvelles (les) de Florian,,,,,,
Nouvelles (les) espagnoles,M. D'Ussieux,,1772,,,
Nouvelles (les) historiques de D'Arnaud,,,,,,
Nouvelles imitées de Michel Cervantes et autres auteurs espagnols,Coste,,1802,,,
Nouvelles irlandaises,anonyme,madame Elisabeth de Bon,1819,1,,
Nouvelles,madame Caroline Pichler,anonyme,1821,,,
Novice (la) de Saint-Dominique,lady Morgan,anonyme,,,,
"Nuits (les) de Paris, ou le Spectateur nocturne ",Rétif de la Bretonne,,1788,4,,
Nuits (les) d'Yung,anonyme,Le Tourneur,1818,,,
Numa Pompilius,,,,,,
"Observateur (l'), ou M. Martin ",Pigault-Lebrun,,1820,1,,
"Observateur (l') sentimental, ou correspondance anecdotique, politique pittoresque et satyrique ",anonyme,,1800,,,
"Odalie, ou le voeu criminel; roman historique",mademoiselle L.,,1819,,,
"Odérahi, histoire américaine",anonyme,,,,,
"Odette de Champdivers, la petite reine, on les apparitions de la dame blanche ",Plancher Valcourt,,1816,,,
"Odisko et Félicie, ou la colonie des Florides",Vernes fils,,1803,,,
"O'donnel, ou l'Irlande; histoire tirée des Annales du pays ",lady Morgan,Lebrun des Charmettes,1813,,,
Oeuvres complettes d'Alexis Piron,Rigoley de Juvigny,,1800,,,
Oeuvres choisies du comte de Tressan ,comte de Tressan,,1796,,,
Oeuvres complettes de Florian,Florian,,1810,1; 3,,
Oeuvres de d'Arnaud,d'Arnaud,,1803,,,
Oeuvres de lady Montague,lady Montague,anonyme,1804,,,
Oeuvres de lord Byron ,lord Byron,anonyme,1820,1,,
Oeuvres de Virgile,Virgile,abbé Desfontaines,,3,,
Oeuvres d'Homère,Homère,madame Dacier,,3,,
Oeuvres posthumes du comte de Tressan,comte de Tressan,,1815,,,
Officier (l') de fortune; épisode des guerres de Montrose,Walter Scott,,1819,1,,
"Officier (l') russe à Paris, ou aventures du comte de",M. Reverony-de-Saint-Cyr,,1814,,,
"Officieux (l'), ou les présents de noces",Pigault-Lebrun,,1819,1,,
"Olivia Rutland, ou le mariage inattendu",G…e,L. M. J. B…y,1808,,,
"Olimpia, ou les brigands des Pyrénées",madame de Saint-Venant,,1820,,,
Olympia et Ethelwoff,madame Bournon Malarme,,1818,,,
Ombres (les) sanglantes; galerie funèbre de prodiges ,Cuisin,,1820,,,
Ondine,baron de Lamothe Fouqué,madame de Montolieu,1819,,,
Oppression et Révolte,,,,,,
"Ordre et Désordre, ou les deux amis",Henri V….N,,1811,,,
"Oréna, ou l'assassin du nord ",madame de Choiseul-Meuse,,1821,2; 3,,
"Orfeuil et Juliette, ou le réveil des illusions",madame Louise Brayer de Saint-Léon,,1810,1,,
Ormond,miss Edgeworth,anonyme,1817,1; 3,,
"Oronoko, ou le prince nègre",madame Behn,M. De la Place,1797,,,
"Orphana,ou l'enfant du hameau",madame Giroust de Morency,,1802,,,
Orphelin (I') aux prises avec le crime,Charles Doris de Bourges,,1817,,,
Orphelin (l') de Westphalie ,Auguste Lafontaine,anonyme,1821,,,
"Orpheline (l') abandonnée dans l'île déserte, ou la nature et les sociétés",Joseph Lavallée,,,2,,
Orpheline (l') anglaise,M. De la Place,,,1,,
"Orpheline (l') du château, ou Emmeline",Charlotte Smith,anonyme,1799,2,,
